layer_index,pc1_variance_ratio,pc2_variance_ratio,pca_centroid_distance
3,0.42550755798859924,0.10415263109050282,2.6177642293684307
4,0.4741746057989007,0.10635803800988376,2.1765600155799714
2,0.48714032265164203,0.09314150029856268,1.9254784227947856
5,0.4272032142185145,0.10572863328519706,1.8680903299108487
1,0.5394551604811904,0.09251389980453306,1.5903899335886165
0,0.5021258974220496,0.08799719726158704,1.5073411060101114
10,0.46504831558608606,0.07648362209716353,1.0320108572743372
8,0.46193244601241007,0.09658535505078299,0.9966375557514052
9,0.4347257071148747,0.08116123732363759,0.8850608291029749
11,0.4308746294642014,0.07777201864677108,0.8014579460094137
7,0.430989824940479,0.1218812702791031,0.6480484139545398
6,0.4481647672975363,0.10750996358449295,0.6056643777438482
